"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
10 0.0601 2019 2008.89690994087 2029.10309005913 0 0
30 0.1977 2017.56318053007 2007.46973096221 2027.65663009794 0.107877157321441 1.07223334011235
50 0.370375 2010.11749533785 1999.99965898051 2020.2353316952 0.0255651421038971 0.0490707623759593
70 0.55795 2002.26720901289 1991.57237640792 2012.96204161786 0.0235405426439656 0.0441479541447514
90 0.755225 1996.26819556355 1985.70549591457 2006.83089521252 0.0349640823063687 0.087608962404772
110 0.9835 1987.09841926029 1976.30977662853 1997.88706189206 0.0269145060727897 0.0443161652421145
130 1.235625 1967.93391272167 1955.90889841824 1979.95892702509 0.013433687921006 0.0113243779494508
150 1.494925 1961.50370657597 1950.05123739663 1972.95617575531 0.0406130058792574 0.104883190087917
170 1.755725 1944.30675811492 1928.7556364278 1959.85787980204 0.0151451288343333 0.0170088097515155
190 2.028425 1950.87039755445 1937.5639621269 1964.17683298199 -0.0434134145583897 0.135373509772403
210 2.3033 1949.23798431884 1935.34546515849 1963.13050347919 0.162213828106741 1.91159454239165
230 2.5565 1938.61401107747 1921.8385281851 1955.38949396984 0.0227410211331494 0.0466234054087785
250 2.80405 1926.14813357947 1904.94405719823 1947.35220996072 0.0203355118836015 0.0441062118825762
270 3.0629 1926.90146142641 1906.67521353178 1947.12770932104 -0.350710518765671 13.6423451080818
290 3.331025 1914.65978854401 1889.46646712031 1939.85310996771 0.0222232698597189 0.0586511837943805
310 3.60995 1904.33081694657 1873.75644460979 1934.90518928334 0.0276697440111755 0.106127545852278
330 3.8916 1907.81983371725 1873.00033244265 1942.63933499185 -0.0795353012722075 1.05631173024915
