"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CIC" "MinAD_CIC" "MaxAD_CIC" "MAR_CIC_g.cm.2.yr" "MAR_CIC_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
5 0.03005 2019 2013.94845497044 2024.05154502956 0 0
10 0.0601 2019 2008.89690994087 2029.10309005913 0 0
15 0.0945 2018.64079513252 2008.5401151962 2028.74147506883 0.0269692893303603 0.268058335028087
20 0.1289 2018.28159026504 2008.18332045154 2028.37986007853 0.0539385786607206 0.536116670056175
25 0.1633 2017.92238539755 2007.82652570687 2028.01824508824 0.0809078679910809 0.804175005084262
30 0.1977 2017.56318053007 2007.46973096221 2027.65663009794 0.107877157321441 1.07223334011235
35 0.24086875 2015.70175923202 2005.60221296678 2025.80130549725 0.0872991535170552 0.816442695678252
40 0.2840375 2013.84033793396 2003.73469497136 2023.94598089657 0.0667211497126692 0.560652051244154
45 0.32720625 2011.97891663591 2001.86717697593 2022.09065629588 0.0461431459082832 0.304861406810057
50 0.370375 2010.11749533785 1999.99965898051 2020.2353316952 0.0255651421038971 0.0490707623759593
55 0.41726875 2008.15492375661 1997.89283833736 2018.41700917586 0.0250589922389142 0.0478400603181573
60 0.4641625 2006.19235217537 1995.78601769422 2016.59868665653 0.0245528423739313 0.0466093582603553
65 0.51105625 2004.22978059413 1993.67919705107 2014.7803641372 0.0240466925089485 0.0453786562025534
70 0.55795 2002.26720901289 1991.57237640792 2012.96204161786 0.0235405426439656 0.0441479541447514
75 0.60726875 2000.76745565056 1990.10565628459 2011.42925501653 0.0263964275595663 0.0550132062097565
80 0.6565875 1999.26770228822 1988.63893616125 2009.89646841519 0.0292523124751671 0.0658784582747617
85 0.70590625 1997.76794892588 1987.17221603791 2008.36368181385 0.0321081973907679 0.0767437103397669
90 0.755225 1996.26819556355 1985.70549591457 2006.83089521252 0.0349640823063687 0.087608962404772
95 0.81229375 1993.97575148773 1983.35656609306 2004.5949368824 0.0329516882479739 0.0767857631141077
100 0.8693625 1991.68330741192 1981.00763627155 2002.35897855229 0.0309392941895792 0.0659625638234433
105 0.92643125 1989.39086333611 1978.65870645004 2000.12302022217 0.0289269001311845 0.0551393645327789
