"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0.03005 2019 2019 2019 0.0152430501412663 0.00376145931283747
5 0.0719625 2017.94846714424 2017.70329328982 2018.19364099866 0.0184252091443175 0.00455733089864449
10 0.113875 2016.89693428848 2016.40658657965 2017.38728199732 0.0216073681473687 0.0053532024844515
15 0.1557875 2015.84540143272 2015.10987986947 2016.58092299598 0.0247895271504199 0.00614907407025851
20 0.1977 2014.79386857697 2013.81317315929 2015.77456399464 0.0279716861534712 0.00694494565606553
25 0.24086875 2013.27348074433 2012.11929946975 2014.4276620189 0.0282745699688772 0.00704406345954095
30 0.2840375 2011.75309291169 2010.42542578021 2013.08076004317 0.0285774537842833 0.00714318126301637
35 0.32720625 2010.23270507905 2008.73155209068 2011.73385806743 0.0288803375996893 0.00724229906649179
40 0.370375 2008.71231724642 2007.03767840114 2010.3869560917 0.0291832214150954 0.00734141686996721
45 0.41726875 2006.88996967476 2005.06160840353 2008.71833094599 0.0293115334836056 0.00755806581149862
50 0.4641625 2005.0676221031 2003.08553840591 2007.04970580029 0.0294398455521157 0.00777471475303003
55 0.51105625 2003.24527453144 2001.1094684083 2005.38108065458 0.0295681576206259 0.00799136369456143
60 0.55795 2001.42292695978 1999.13339841069 2003.71245550888 0.029696469689136 0.00820801263609284
65 0.60726875 1999.69398846656 1997.28050322955 2002.10747370358 0.0294879058728403 0.00813744916321075
70 0.6565875 1997.96504997334 1995.4276080484 2000.50249189828 0.0292793420565447 0.00806688569032865
75 0.70590625 1996.23611148012 1993.57471286726 1998.89751009298 0.029070778240249 0.00799632221744656
80 0.755225 1994.5071729869 1991.72181768612 1997.29252828768 0.0288622144239533 0.00792575874456447
85 0.81229375 1992.44784856016 1989.52357136784 1995.37212575248 0.0290744108873381 0.00808049722389102
90 0.8693625 1990.38852413342 1987.32532504957 1993.45172321728 0.0292866073507228 0.00823523570321758
95 0.92643125 1988.32919970668 1985.12707873129 1991.53132068207 0.0294988038141076 0.00838997418254414
100 0.9835 1986.26987527994 1982.92883241302 1989.61091814687 0.0297110002774924 0.00854471266187069
105 1.04653125 1983.8676699031 1980.36714222381 1987.36819758238 0.0322798074694557 0.00977909091196751
110 1.1095625 1981.46546452625 1977.8054520346 1985.12547701789 0.034848614661419 0.0110134691620643
115 1.17259375 1979.0632591494 1975.24376184539 1982.8827564534 0.0374174218533824 0.0122478474121612
120 1.235625 1976.66105377255 1972.68207165619 1980.64003588891 0.0399862290453457 0.013482225662258
125 1.30045 1974.86503994618 1970.74822492303 1978.98185496933 0.0397547150218176 0.0132775879426275
130 1.365275 1973.06902611981 1968.81437818987 1977.32367404976 0.0395232009982894 0.013072950222997
135 1.4301 1971.27301229344 1966.88053145671 1975.66549313018 0.0392916869747613 0.0128683125033665
140 1.494925 1969.47699846708 1964.94668472354 1974.00731221061 0.0390601729512331 0.0126636747837361
145 1.560125 1967.60329482079 1962.88080219487 1972.32578744671 0.0424972679116646 0.0156888169257162
150 1.625325 1965.7295911745 1960.81491966619 1970.64426268281 0.0459343628720961 0.0187139590676963
155 1.690525 1963.85588752821 1958.74903713751 1968.96273791891 0.0493714578325275 0.0217391012096763
160 1.755725 1961.98218388192 1956.68315460884 1967.28121315501 0.052808552792959 0.0247642433516564
165 1.8239 1960.64375835831 1955.20818300869 1966.07933370793 0.0487217122395495 0.0222570262450777
170 1.892075 1959.3053328347 1953.73321140855 1964.87745426085 0.04463487168614 0.0197498091384989
175 1.96025 1957.96690731109 1952.2582398084 1963.67557481378 0.0405480311327305 0.0172425920319202
180 2.028425 1956.62848178748 1950.78326820826 1962.4736953667 0.036461190579321 0.0147353749253414
185 2.09714375 1954.39024662436 1948.26515599839 1960.51533725033 0.0346061216314192 0.0142419351867341
190 2.1658625 1952.15201146125 1945.74704378853 1958.55697913397 0.0327510526835173 0.0137484954481269
195 2.23458125 1949.91377629813 1943.22893157866 1956.5986210176 0.0308959837356155 0.0132550557095196
200 2.3033 1947.67554113502 1940.7108193688 1954.64026290124 0.0290409147877136 0.0127616159709123
205 2.3666 1944.99509553746 1937.60944332178 1952.38074775313 0.0290188758641726 0.0135671534015738
210 2.4299 1942.3146499399 1934.50806727477 1950.12123260503 0.0289968369406316 0.0143726908322353
215 2.4932 1939.63420434234 1931.40669122776 1947.86171745693 0.0289747980170905 0.0151782282628968
220 2.5565 1936.95375874478 1928.30531518075 1945.60220230882 0.0289527590935495 0.0159837656935582
225 2.6183875 1934.53875674918 1925.41910418897 1943.65840930939 0.0296123794160527 0.0175897491453077
230 2.680275 1932.12375475358 1922.53289319718 1941.71461630997 0.0302719997385559 0.0191957325970572
235 2.7421625 1929.70875275797 1919.6466822054 1939.77082331054 0.0309316200610591 0.0208017160488066
240 2.80405 1927.29375076237 1916.76047121362 1937.82703031111 0.0315912403835623 0.0224076995005561
245 2.8687625 1924.98613049385 1913.95603160598 1936.01622938172 0.0294841723754118 0.0209363436026546
250 2.933475 1922.67851022534 1911.15159199835 1934.20542845234 0.0273771043672614 0.0194649877047531
255 2.9981875 1920.37088995683 1908.34715239071 1932.39462752295 0.0252700363591109 0.0179936318068516
260 3.0629 1918.06326968832 1905.54271278307 1930.58382659356 0.0231629683509605 0.0165222759089502
265 3.12993125 1914.54215891637 1901.00600613985 1928.0783116929 0.0228406036377633 0.0174108751691391
270 3.1969625 1911.02104814443 1896.46929949662 1925.57279679223 0.0225182389245661 0.018299474429328
275 3.26399375 1907.49993737248 1891.9325928534 1923.06728189157 0.022195874211369 0.0191880736895169
280 3.331025 1903.97882660054 1887.39588621018 1920.5617669909 0.0218735094981718 0.0200766729497058
285 3.40075625 1900.04802278138 1881.96796728055 1918.12807828222 0.0210293791611259 0.0204515554760752
290 3.4704875 1896.11721896222 1876.54004835092 1915.69438957353 0.0201852488240801 0.0208264380024445
295 3.54021875 1892.18641514307 1871.11212942129 1913.26070086484 0.0193411184870343 0.0212013205288139
300 3.60995 1888.25561132391 1865.68421049166 1910.82701215616 0.0184969881499884 0.0215762030551833
305 3.6803625 1882.99194977766 1857.57500211566 1908.40889743966 0.0160291126663633 0.0194189851580386
310 3.750775 1877.72828823141 1849.46579373965 1905.99078272317 0.0135612371827383 0.0172617672608938
315 3.8211875 1872.46462668516 1841.35658536365 1903.57266800668 0.0110933616991132 0.015104549363749
320 3.8916 1867.20096513891 1833.24737698764 1901.15455329019 0.00862548621548811 0.0129473314666043
