Depth	Sand	LOI550
2.5	0	42.10526316
7.5	0	39.33717579
12.5	0	37.46835443
17.5	0	39.44954128
22.5	2	38.55421687
27.5	2	38.54595336
32.5	8	38.9380531
37.5	16	38.29531813
42.5	4	35.95238095
47.5	6	37.40310078
52.5	24	37.20173536
57.5	2	39.09180652
62.5	8	38.91454965
67.5	18	38.12785388
72.5	6	41.37214137
77.5	4	43.04435484
82.5	2	40.88838269
87.5	8	41.25248509
92.5	20	39.83208955
97.5	18	37.93381759
102.5	42	25.38975501
107.5	54	25.89984351
112.5	50	26.78571429
117.5	50	26.51982379
122.5	62	26.02739726
127.5	24	26.17924528
132.5	20	25.89356632
137.5	62	24.4137931
142.5	38	28.02404207
147.5	20	29.75724354
152.5	36	34.47505585
157.5	10	34.43396226
162.5	10	37.40399386
167.5	16	36.78797468
172.5	8	37.37451737
177.5	2	37.83382789
182.5	4	38.34886818
187.5	20	36.21818182
192.5	30	35.25127458
197.5	18	36.02484472
202.5	22	33.23285607
207.5	36	37.09677419
212.5	28	35.94771242
217.5	6	43.64820847
222.5	6	46.51162791
227.5	0	47.99331104
232.5	2	50.625
237.5	0	50.56542811
242.5	4	51.78441369
247.5	6	50.74862096
252.5	10	48.71794872
257.5	32	51.10169492
262.5	40	54.40126883
267.5	48	54.12772586
272.5	38	54.34083601
277.5	236	44.21404682
282.5	190	44.78340451
287.5	44	54.13060582
292.5	84	53.88389207
297.5	86	51.45259939
302.5	104	54.54545455
307.5	100	56.17021277
312.5	44	61.16863905
317.5	16	59.58005249
322.5	4	61.69906407
327.5	14	62.24188791
332.5	26	57.82178218
337.5	40	56.74418605
