"depth_avg_mm" "mass_depth_g.cm.2" "BestAD" "MinAD" "MaxAD" "MAR_g.cm.2.yr" "MAR_err_g.cm.2.yr"
0 0 2019 2019 2019 0.0214835219506471 0.000913681638642556
20 0.0358 2017.33360656217 2017.26273582271 2017.40447730163 0.0214835219506471 0.000913681638642556
40 0.12225 2013.30959224094 2013.06758252308 2013.55160195879 0.0214835219506471 0.000913681638642556
60 0.2208 2008.72235555663 2008.2852533423 2009.15945777097 0.0214835219506471 0.000913681638642556
80 0.3177 2004.21192192184 2003.58299359985 2004.84085024383 0.0214835219506471 0.000913681638642556
100 0.4299 1998.98931455524 1998.13827179281 1999.84035731767 0.0214835219506471 0.000913681638642556
120 0.5566 1993.09177129901 1991.98990946704 1994.19363313099 0.0214835219506471 0.000913681638642556
140 0.6738 1987.63642741875 1986.30255299837 1988.97030183913 0.0214835219506471 0.000913681638642556
160 0.8056 1981.50149291859 1979.90670331773 1983.09628251945 0.0214835219506471 0.000913681638642556
180 0.9768 1973.53259469076 1971.59889250342 1975.4662968781 0.0214835219506471 0.000913681638642556
200 1.18825 1963.69016752795 1961.33787266297 1966.04246239292 0.0214835219506471 0.000913681638642556
220 1.45285 1951.37375122489 1948.49764636936 1954.24985608042 0.0214835219506471 0.000913681638642556
240 1.74335 1937.85175978106 1934.4005725285 1941.30294703362 0.0214835219506471 0.000913681638642556
260 2.04415 1923.85033111908 1919.80367128467 1927.8969909535 0.0214835219506471 0.000913681638642556
280 2.39 1907.751946469 1903.02063173953 1912.48326119847 0.0214835219506471 0.000913681638642556
300 2.7221 1892.29358723149 1886.90483751388 1897.6823369491 0.0214835219506471 0.000913681638642556
310 2.8649 1885.64663240127 1879.97519157765 1891.31807322489 0.0214835219506471 0.000913681638642556
320 3.09663333333333 1874.86007078136 1868.72988379317 1880.99025776955 0.0214835219506471 0.000913681638642556
325 3.2125 1869.46678997141 1863.10722990094 1875.82635004188 0.0214835219506471 0.000913681638642556
330 3.2125 1869.46678997141 1863.10722990094 1875.82635004188 0.0214835219506471 0.000913681638642556
