"depth_avg_mm" "mass_depth_g.cm.2" "BestAD" "MinAD" "MaxAD" "MAR_g.cm.2.yr" "MAR_err_g.cm.2.yr"
0 0 2019 2019 2019 0.0214835219506471 0.000913681638642556
5 0.00895 2018.58340164054 2018.56568395568 2018.60111932541 0.0214835219506471 0.000913681638642556
10 0.0179 2018.16680328109 2018.13136791135 2018.20223865082 0.0214835219506471 0.000913681638642556
15 0.02685 2017.75020492163 2017.69705186703 2017.80335797623 0.0214835219506471 0.000913681638642556
20 0.0358 2017.33360656217 2017.26273582271 2017.40447730163 0.0214835219506471 0.000913681638642556
25 0.0574125 2016.32760298186 2016.2139474978 2016.44125846592 0.0214835219506471 0.000913681638642556
30 0.079025 2015.32159940155 2015.16515917289 2015.47803963021 0.0214835219506471 0.000913681638642556
35 0.1006375 2014.31559582124 2014.11637084799 2014.5148207945 0.0214835219506471 0.000913681638642556
40 0.12225 2013.30959224094 2013.06758252308 2013.55160195879 0.0214835219506471 0.000913681638642556
45 0.1468875 2012.16278306986 2011.87200022788 2012.45356591184 0.0214835219506471 0.000913681638642556
50 0.171525 2011.01597389878 2010.67641793269 2011.35552986488 0.0214835219506471 0.000913681638642556
55 0.1961625 2009.86916472771 2009.48083563749 2010.25749381793 0.0214835219506471 0.000913681638642556
60 0.2208 2008.72235555663 2008.2852533423 2009.15945777097 0.0214835219506471 0.000913681638642556
65 0.245025 2007.59474714794 2007.10968840669 2008.07980588919 0.0214835219506471 0.000913681638642556
70 0.26925 2006.46713873924 2005.93412347107 2007.0001540074 0.0214835219506471 0.000913681638642556
75 0.293475 2005.33953033054 2004.75855853546 2005.92050212562 0.0214835219506471 0.000913681638642556
80 0.3177 2004.21192192184 2003.58299359985 2004.84085024383 0.0214835219506471 0.000913681638642556
85 0.34575 2002.90627008019 2002.22181314809 2003.59072701229 0.0214835219506471 0.000913681638642556
90 0.3738 2001.60061823854 2000.86063269633 2002.34060378075 0.0214835219506471 0.000913681638642556
95 0.40185 2000.29496639689 1999.49945224457 2001.09048054921 0.0214835219506471 0.000913681638642556
100 0.4299 1998.98931455524 1998.13827179281 1999.84035731767 0.0214835219506471 0.000913681638642556
105 0.461575 1997.51492874118 1996.60118121137 1998.428676271 0.0214835219506471 0.000913681638642556
110 0.49325 1996.04054292713 1995.06409062993 1997.01699522433 0.0214835219506471 0.000913681638642556
115 0.524925 1994.56615711307 1993.52700004848 1995.60531417766 0.0214835219506471 0.000913681638642556
120 0.5566 1993.09177129901 1991.98990946704 1994.19363313099 0.0214835219506471 0.000913681638642556
125 0.5859 1991.72793532895 1990.56807034987 1992.88780030803 0.0214835219506471 0.000913681638642556
130 0.6152 1990.36409935888 1989.1462312327 1991.58196748506 0.0214835219506471 0.000913681638642556
135 0.6445 1989.00026338882 1987.72439211553 1990.2761346621 0.0214835219506471 0.000913681638642556
140 0.6738 1987.63642741875 1986.30255299837 1988.97030183913 0.0214835219506471 0.000913681638642556
145 0.70675 1986.10269379371 1984.70359057821 1987.50179700921 0.0214835219506471 0.000913681638642556
150 0.7397 1984.56896016867 1983.10462815805 1986.03329217929 0.0214835219506471 0.000913681638642556
155 0.77265 1983.03522654363 1981.50566573789 1984.56478734937 0.0214835219506471 0.000913681638642556
160 0.8056 1981.50149291859 1979.90670331773 1983.09628251945 0.0214835219506471 0.000913681638642556
165 0.8484 1979.50926836163 1977.82975061415 1981.18878610911 0.0214835219506471 0.000913681638642556
170 0.8912 1977.51704380467 1975.75279791057 1979.28128969878 0.0214835219506471 0.000913681638642556
175 0.934 1975.52481924772 1973.675845207 1977.37379328844 0.0214835219506471 0.000913681638642556
180 0.9768 1973.53259469076 1971.59889250342 1975.4662968781 0.0214835219506471 0.000913681638642556
185 1.0296625 1971.07198790006 1969.03363754331 1973.11033825681 0.0214835219506471 0.000913681638642556
190 1.082525 1968.61138110935 1966.46838258319 1970.75437963551 0.0214835219506471 0.000913681638642556
195 1.1353875 1966.15077431865 1963.90312762308 1968.39842101422 0.0214835219506471 0.000913681638642556
200 1.18825 1963.69016752795 1961.33787266297 1966.04246239292 0.0214835219506471 0.000913681638642556
205 1.2544 1960.61106345218 1958.12781608957 1963.0943108148 0.0214835219506471 0.000913681638642556
210 1.32055 1957.53195937642 1954.91775951617 1960.14615923667 0.0214835219506471 0.000913681638642556
215 1.3867 1954.45285530065 1951.70770294276 1957.19800765854 0.0214835219506471 0.000913681638642556
220 1.45285 1951.37375122489 1948.49764636936 1954.24985608042 0.0214835219506471 0.000913681638642556
225 1.525475 1947.99325336393 1944.97337790915 1951.01312881872 0.0214835219506471 0.000913681638642556
230 1.5981 1944.61275550297 1941.44910944893 1947.77640155702 0.0214835219506471 0.000913681638642556
235 1.670725 1941.23225764202 1937.92484098871 1944.53967429532 0.0214835219506471 0.000913681638642556
240 1.74335 1937.85175978106 1934.4005725285 1941.30294703362 0.0214835219506471 0.000913681638642556
245 1.81855 1934.35140261556 1930.75134721754 1937.95145801359 0.0214835219506471 0.000913681638642556
250 1.89375 1930.85104545007 1927.10212190658 1934.59996899356 0.0214835219506471 0.000913681638642556
255 1.96895 1927.35068828458 1923.45289659563 1931.24847997353 0.0214835219506471 0.000913681638642556
260 2.04415 1923.85033111908 1919.80367128467 1927.8969909535 0.0214835219506471 0.000913681638642556
265 2.1306125 1919.82573495656 1915.60791139838 1924.04355851474 0.0214835219506471 0.000913681638642556
270 2.217075 1915.80113879404 1911.4121515121 1920.19012607598 0.0214835219506471 0.000913681638642556
275 2.3035375 1911.77654263152 1907.21639162581 1916.33669363723 0.0214835219506471 0.000913681638642556
280 2.39 1907.751946469 1903.02063173953 1912.48326119847 0.0214835219506471 0.000913681638642556
285 2.473025 1903.88735665962 1898.99168318312 1908.78303013613 0.0214835219506471 0.000913681638642556
290 2.55605 1900.02276685025 1894.9627346267 1905.08279907379 0.0214835219506471 0.000913681638642556
295 2.639075 1896.15817704087 1890.93378607029 1901.38256801144 0.0214835219506471 0.000913681638642556
300 2.7221 1892.29358723149 1886.90483751388 1897.6823369491 0.0214835219506471 0.000913681638642556
305 2.7935 1888.97010981638 1883.44001454576 1894.500205087 0.0214835219506471 0.000913681638642556
310 2.8649 1885.64663240127 1879.97519157765 1891.31807322489 0.0214835219506471 0.000913681638642556
315 2.98076666666667 1880.25335159132 1874.35253768541 1886.15416549722 0.0214835219506471 0.000913681638642556
320 3.09663333333333 1874.86007078136 1868.72988379317 1880.99025776955 0.0214835219506471 0.000913681638642556
325 3.2125 1869.46678997141 1863.10722990094 1875.82635004188 0.0214835219506471 0.000913681638642556
330 3.2125 1869.46678997141 1863.10722990094 1875.82635004188 0.0214835219506471 0.000913681638642556
