"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "MAR_CRS_g.cm.2.yr" "MAR_CRS_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
0 0.0358 2019 2019 2019 0.0265510188634146 0.00806562161612231
20 0.12225 2016.18354398826 2015.3614614812 2017.00562649532 0.020334827834374 0.00534632505319526
40 0.2208 2010.77116696541 2009.23651218593 2012.30582174489 0.0188758459682188 0.0049242964285852
60 0.3177 2005.24776940849 2003.22908388933 2007.26645492765 0.0196049329378247 0.00540452677307443
80 0.4299 1999.81510474761 1997.36872655742 2002.2614829378 0.0220397450136677 0.00587706616029837
100 0.5566 1993.49860094602 1990.55613001217 1996.44107187987 0.0241732932871469 0.00739385999766616
120 0.6738 1987.7626136911 1984.34013642717 1991.18509095503 0.0211546740757502 0.00641188325406757
140 0.8056 1982.23728909684 1978.27571369079 1986.19886450288 0.0193904576004384 0.00607828259637148
160 0.9768 1972.96530341907 1968.02897844166 1977.90162839647 0.0213327766222307 0.00746572020684857
180 1.18825 1962.78296883358 1956.53702316842 1969.02891449873 0.0237586131859882 0.00972214876387881
200 1.45285 1950.86049952628 1942.74538410695 1958.97561494561 0.034942218341155 0.0201178370625
220 1.74335 1941.16491454529 1931.36463068361 1950.96519840697 0.0354962126741677 0.0239579691030531
240 2.04415 1931.79657634388 1920.01473229593 1943.57842039182 0.0188146095987701 0.0108509517222917
260 2.39 1908.36640897519 1888.14330458812 1928.58951336227 0.022759778581001 0.0225463427283294
280 2.7221 1884.95014879754 1851.21515936329 1918.6851382318 0.0167700599457737 0.0294899404118156
300 3.0387 1860.70384404581 1809.11492073114 1912.29276736048 0.0108043928234366 0.0246453236588551
