"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS_pw" "MinAD_CRS_pw" "MaxAD_CRS_pw" "MAR_CRS_pw_g.cm.2.yr" "MAR_CRS_pw_err_g.cm.2.yr"
0 0 2019 2019 2019 0 0
0 0.0358 2019 2019 2019 0.0280684712476921 0.0104591588451089
20 0.12225 2016.34228017204 1996.22404604747 2036.4605142966 0.0216033381711029 0.0205842889720444
40 0.2208 2011.27415691228 1991.20937858972 2031.33893523485 0.0202690738914925 0.0192093331410649
60 0.3177 2006.16231398393 1986.14108794276 2026.18354002509 0.021323007543136 0.0204869984543813
80 0.4299 2001.20300924827 1981.23913108643 2021.1668874101 0.0243264983572842 0.0230128833972894
100 0.5566 1995.53597139871 1975.63951666039 2015.43242613702 0.0272255124409906 0.0267800255757101
120 0.6738 1990.49633751461 1970.70189484623 2010.29078018298 0.0243470712171673 0.0236680292130872
140 0.8056 1985.75187427774 1966.0191833836 2005.48456517188 0.0228649035370447 0.0222747156602816
160 0.9768 1978.07274713826 1958.66993077887 1997.47556349766 0.0264320509333325 0.0262266886254222
180 1.18825 1970.12199503979 1951.23384119104 1989.01014888855 0.0315521476255139 0.0323206071550069
200 1.45285 1961.58023095406 1943.62524538523 1979.53521652289 0.0515459798127734 0.0597445132911583
220 1.74335 1955.3373261158 1938.55049848169 1972.12415374992 0.058295419067535 0.0705525754437692
240 2.04415 1949.96358160584 1934.50603044974 1965.42113276194 0.0349841280152225 0.0352313874818364
260 2.39 1939.4759458661 1927.36496823014 1951.58692350206 0.0632785387703338 0.0777498112416702
280 2.7221 1932.85624542244 1924.74141412405 1940.97107672082 0.0785889548500703 0.138007763275959
300 3.0387 1929 1929 1929 0.0127847636879928 0.0415008103107918
