"depth_avg_mm" "mass_depth_g.cm.2" "BestAD_CRS_pw" "MinAD_CRS_pw" "MaxAD_CRS_pw" "MAR_CRS_pw_g.cm.2.yr" "MAR_CRS_pw_err_g.cm.2.yr"
0 0.0179 2019 2019 2019 0.0140342356238461 0.00522957942255443
5 0.0439875 2018.33557004301 2013.30601151187 2023.36512857415 0.0159265112606603 0.00906825680992691
10 0.070075 2017.67114008602 2007.61202302373 2027.7302571483 0.0178187868974745 0.0129069341972994
15 0.0961625 2017.00671012903 2001.9180345356 2032.09538572245 0.0197110625342887 0.0167456115846719
20 0.12225 2016.34228017204 1996.22404604747 2036.4605142966 0.0216033381711029 0.0205842889720444
25 0.1468875 2015.0752493571 1994.97037918303 2035.18011953116 0.0212697721012003 0.0202405500142995
30 0.171525 2013.80821854216 1993.71671231859 2033.89972476573 0.0209362060312977 0.0198968110565546
35 0.1961625 2012.54118772722 1992.46304545416 2032.61933000029 0.0206026399613951 0.0195530720988097
40 0.2208 2011.27415691228 1991.20937858972 2031.33893523485 0.0202690738914925 0.0192093331410649
45 0.245025 2009.99619618019 1989.94230592798 2030.05008643241 0.0205325573044034 0.019528749469394
50 0.26925 2008.71823544811 1988.67523326624 2028.76123762997 0.0207960407173143 0.0198481657977231
55 0.293475 2007.44027471602 1987.4081606045 2027.47238882753 0.0210595241302251 0.0201675821260522
60 0.3177 2006.16231398393 1986.14108794276 2026.18354002509 0.021323007543136 0.0204869984543813
65 0.34575 2004.92248780001 1984.91559872868 2024.92937687134 0.022073880246673 0.0211184696901083
70 0.3738 2003.6826616161 1983.6901095146 2023.6752137176 0.0228247529502101 0.0217499409258354
75 0.40185 2002.44283543218 1982.46462030052 2022.42105056385 0.0235756256537471 0.0223814121615624
80 0.4299 2001.20300924827 1981.23913108643 2021.1668874101 0.0243264983572842 0.0230128833972894
85 0.461575 1999.78624978588 1979.83922747992 2019.73327209183 0.0250512518782108 0.0239546689418946
90 0.49325 1998.36949032349 1978.43932387341 2018.29965677356 0.0257760053991374 0.0248964544864998
95 0.524925 1996.9527308611 1977.0394202669 2016.86604145529 0.026500758920064 0.025838240031105
100 0.5566 1995.53597139871 1975.63951666039 2015.43242613702 0.0272255124409906 0.0267800255757101
105 0.5859 1994.27606292768 1974.40511120685 2014.14701464851 0.0265059021350348 0.0260020264850544
110 0.6152 1993.01615445666 1973.17070575331 2012.86160316 0.025786291829079 0.0252240273943987
115 0.6445 1991.75624598563 1971.93630029977 2011.57619167149 0.0250666815231231 0.0244460283037429
120 0.6738 1990.49633751461 1970.70189484623 2010.29078018298 0.0243470712171673 0.0236680292130872
125 0.70675 1989.31022170539 1969.53121698058 2009.08922643021 0.0239765292971366 0.0233197008248858
130 0.7397 1988.12410589618 1968.36053911492 2007.88767267743 0.023605987377106 0.0229713724366844
135 0.77265 1986.93799008696 1967.18986124926 2006.68611892466 0.0232354454570754 0.022623044048483
140 0.8056 1985.75187427774 1966.0191833836 2005.48456517188 0.0228649035370447 0.0222747156602816
145 0.8484 1983.83209249287 1964.18187023242 2003.48231475333 0.0237566903861166 0.0232627089015668
150 0.8912 1981.912310708 1962.34455708124 2001.48006433477 0.0246484772351886 0.0242507021428519
155 0.934 1979.99252892313 1960.50724393005 1999.47781391622 0.0255402640842605 0.025238695384137
160 0.9768 1978.07274713826 1958.66993077887 1997.47556349766 0.0264320509333325 0.0262266886254222
165 1.0296625 1976.08505911365 1956.81090838191 1995.35920984538 0.0277120751063778 0.0277501682578183
170 1.082525 1974.09737108903 1954.95188598495 1993.2428561931 0.0289920992794232 0.0292736478902145
175 1.1353875 1972.10968306441 1953.09286358799 1991.12650254083 0.0302721234524685 0.0307971275226107
180 1.18825 1970.12199503979 1951.23384119104 1989.01014888855 0.0315521476255139 0.0323206071550069
185 1.2544 1967.98655401836 1949.33169223959 1986.64141579713 0.0365506056723288 0.0391765836890448
190 1.32055 1965.85111299693 1947.42954328813 1984.27268270572 0.0415490637191437 0.0460325602230826
195 1.3867 1963.71567197549 1945.52739433668 1981.9039496143 0.0465475217659585 0.0528885367571205
200 1.45285 1961.58023095406 1943.62524538523 1979.53521652289 0.0515459798127734 0.0597445132911583
