Depth	sand	LOI550
2.5	0	65.51724138
7.5	6	69.49458484
12.5	0	72.57383966
17.5	0	70.69672131
22.5	8	66.66666667
27.5	2	67.49226006
32.5	2	74.10714286
37.5	20	65.80565806
42.5	12	62.32073012
47.5	4	62.54545455
52.5	36	61.05137395
57.5	110	58.32290363
62.5	4	62.32492997
67.5	4	63.21989529
72.5	4	59.03187721
77.5	24	54.78547855
82.5	2	56.82451253
87.5	4	59.44976077
92.5	2	60.42983565
97.5	4	62.75773196
102.5	0	62.87069988
107.5	4	61.625
112.5	4	64.79591837
117.5	0	63.8424821
122.5	0	61.37689615
127.5	8	58.6163522
132.5	2	61.37640449
137.5	0	63.57786358
142.5	0	62.98200514
147.5	6	59.12938331
152.5	20	52.91622481
157.5	12	58.81081081
162.5	4	60.02430134
167.5	6	60.65959953
172.5	10	62.54589963
177.5	2	63.85696041
182.5	26	62.83924843
187.5	18	57.76053215
192.5	10	59.22107675
197.5	24	60.47516199
202.5	8	58.53658537
207.5	18	60.18158236
212.5	12	54.01015228
217.5	6	58.14663951
222.5	6	61.2371134
227.5	6	60.92057762
232.5	86	52.80898876
237.5	182	63.84671005
242.5	34	65.00377929
247.5	14	62.63924593
252.5	0	64.78723404
257.5	6	63.66525424
262.5	12	62.1399177
267.5	8	57.32600733
272.5	4	58.78594249
277.5	20	55.24691358
282.5	10	58.77689694
287.5	4	55.75575576
292.5	6	53.05164319
297.5	2	53.34555454
302.5	2	50.7751938
307.5	2	53.51833499
312.5	52	49.07407407
317.5	102	42.10122699
322.5	32	51.55279503
327.5	4	55.77797998
332.5	4	54.93358634
337.5	18	51.97132616
342.5	36	44.10339257
347.5	38	33.5243553
352.5	108	34.44602273
357.5	506	16.73934921
362.5	78	33.75902277
367.5	6	42.93865906
372.5	6	44.40078585
377.5	0	44.2043222
382.5	0	41.45549058
387.5	76	33.27922078
392.5	74	38.65425913
397.5	70	37.49242883
402.5	146	33.60800471
407.5	34	32.45469522
412.5	58	25.84800343
417.5	26	28.21330902
422.5	162	21.08013937
427.5	130	27.61394102
