"depth_min"	"depth_max"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	40	0.0598125	1107.8523	325.6199	34.1085	6.7276
40	60	0.0807	636.5783	203.3445	35.5217	9.434
60	80	0.08085	200.6537	86.5796	52.6613	9.6973
80	100	0.078025	230.3729	77.2101	54.5974	10.432
100	120	0.081625	202.4302	80.4154	11.4884	5.7125
120	140	0.078525	104.7893	53.9773	7.8431	6.1878
140	160	0.086825	97.6484	48.6436	0	0
160	180	0.0818	49.0885	29.5464	0	0
180	200	0.091475	19.9591	55.9389	0	0
200	220	0.089975	22.592	51.3334	0	0
220	240	0.122125	13.0952	48.3472	3.0299	3.9079
240	260	0.10935	8.7277	30.8308	2.1079	3.2561
260	280	0.099375	0	12.1599	7.7185	4.4173
280	300	0.10095	27.5141	36.3109	5.507	4.0704
300	320	0.110625	0	0	0	0
320	340	0.1099	0	9.6096	4.7576	3.959
340	360	0.175575	7.6836	16.3381	2.9483	2.0675
