"depth_min"	"depth_max"	"thickness"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	20	20	0.06515	159.91	80.72	24.18	6.1
20	40	20	0.134575	84.24	41	27.81	4.78
40	60	20	0.12145	73.34	37.6	28.58	3.76
60	80	20	0.130066667	56.84	32.8	31.12	4.77
80	100	20	0.118575	52.89	41.33	28.78	5.23
100	120	20	0.118075	63.52	37.35	22.7	4.03
120	140	20	0.112125	47.99	33.97	20.62	4.01
140	160	20	0.120775	35.59	31.66	18.59	3.04
160	180	20	0.1235	24.79	33.16	16.03	3.89
180	200	20	0.122525	23.1	34.13	5.53	3.07
200	220	20	0.129375	9.33	29.06	2.98	2.66
220	240	20	0.13733	34.3	32.25	3.05	2.06
240	260	20	0.1386	5.21	34.22	NA	NA
260	280	20	0.14325	16.85	33.6	NA	NA
