depth,(M) Nitzschia tubicola,Pinnularia semiinflata,Navicula bipustulata,Nitzschia ligowskii,Cocconeis scutelum,Nitzschia fusiformis,Tabularia fasciculata,(B) Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Halamphora acutiscula,Halamphora coffeiformis,Navicula peregrina,Nitzschia sigma,(E) Pinnuavis elegans,Amphora ovalis,Synedra famelica,Diploneis smithii,Navicula gregaria,Pinnularia golbiceps,Stephanocyclus meneghinianus,Diploneis eliptica,Planothidium delicathulum,(F) Ctenophora pulchella,Diatoma moniliformis,Navicula cf. radiosa,Nitzschia incospicua,Placoneis clementis,Sellaphora bacillum,Brebissonia lanceolata,Pseudostaurosira elliptica,Diatoma tenuis,Nitzschia dissipata,Fragilaria capucina,Pseudostaurosira brevistriata,Achnanthidium lineare,Encyonopsis microcephala,Fragilaria gracilis,Nitzschia palea,Pinnularia borealis,Sellaphora laevissima,Gomphonema acuminatum,Caloneis tenuis,Encyonema silesiacum,Iconella curvula,Pinnularia viridiformis,Adlafia minuscula,Cymbopleura naviculiformis,Lindavia radiosa,Pinnularia viridis,Achnanthidium minutissimum,Achnanthidium peterseni,Aulacoseira canadensis,Brachysira procea,Brachysira serians,Brachysira vitrea,Cocconeis placentula,Diatoma moliniformis,Diploneis boldtiana,Diploneis finnica,Encyonema neogracile,Encyonopsis cesatii,Eunotia arcus,Eunotia bilunaris,Eunotia faba,Eunotia glacialis,Eunotia implicata,Eunotia nymanniana,Eunotia paludosa,Eunotia rhomboidea,Eunotia subherkiniensis,Eunotia tenella,Eunotia tetraodon,Eunotia vanheurckii,Fragilaria radians,Fragilaria tenera,Fragilaria tenera var. nanana,Fragilariforma virescens var.subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema angustatum,Gomphonema coronatum,Gomphonema druteligense,Gomphonema pala,Gomphonema parvulius,Gomphonema parvulum,Gomphonema subcapitatum,Gyrosigma acuminatum,Hippodonta hungarica,Iconella amphioxys,Neidium affine,Nitzschia hantzschiana,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia complexa,Pinnularia krammeri,Pinnularia macilenta,Pinnularia microstauron,Pinnularia microstauron var. nonfasciata,Pinnularia perinterrupta,Pinnularia subnodosa,Platessa oblongella,Psammothidium helveticum,Psammothidium subatomoides,Rossithidium pusillum,Stauroforma exiguiformis,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira bidonis,Staurosira construens,Staurosira venter,Staurosirella pinnata,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,(I) Aulacoseira sp.,Diatoma sp.,Nitzschia sp.,Sellaphora sp.,Surirella sp.
0.25,0,0,0,0,0,0,1,3,1,12,16,0,3,3,20,9,2,0,0,4,0,27,6,7,0,0,0,0,2,0,0,31,0,0,16,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,16,0,0,0,0,16,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,128,3,0,0,0,0,11,0,0,0,23,0,0,3,4,0,1
8.25,11,0,0,0,0,0,4,0,3,7,33,0,0,3,4,4,0,0,0,5,0,10,10,0,1,0,0,0,0,0,0,39,26,0,12,0,0,0,0,0,3,0,0,0,2,0,0,0,0,44,1,6,0,0,0,2,0,3,3,0,0,5,0,0,13,0,0,0,0,5,2,0,1,2,0,6,0,0,0,0,0,2,0,1,0,0,0,0,1,0,10,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,97,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
12.25,0,0,3,0,0,0,2,8,4,18,42,0,3,8,11,4,2,0,0,8,0,1,20,4,10,0,0,0,4,7,1,42,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,3,0,0,0,0,0,0,0,0,0,9,0,0,16,0,0,3,0,7,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0
17.75,0,1,1,3,0,0,4,2,1,21,35,0,7,1,18,1,0,0,0,1,0,1,5,4,7,0,0,1,2,6,0,15,16,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,14,4,7,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,4,0,6,0,0,4,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,1,5,0,0,0,1,4,0,8,0,2,0,0,0,0,0,0,0,89,22,0,1,0,0,43,0,0,0,0,0,0,7,0,2,1
20.75,0,0,1,5,0,1,0,2,2,9,33,1,3,5,22,1,0,0,0,10,0,21,2,4,6,0,0,1,4,4,0,39,26,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,9,8,0,0,0,3,0,0,5,0,0,3,0,0,8,3,0,0,0,6,0,0,3,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,7,0,2,0,0,0,0,0,0,0,79,9,0,1,0,0,17,0,0,0,3,0,0,5,0,0,1
23.75,0,0,2,3,0,0,0,0,3,7,12,3,2,5,8,0,0,6,0,10,0,22,1,0,9,0,0,0,1,2,0,54,23,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22,2,23,0,0,0,2,0,1,2,0,0,0,0,0,8,6,0,1,0,6,0,0,2,0,0,4,7,0,0,0,0,6,0,1,0,1,1,3,0,0,3,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,60,4,0,0,0,0,24,0,0,0,0,0,0,13,0,0,0
27,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0,0,3,13,2,0,2,3,1,1,3,4,3,12,1,0,0,14,9,4,0,15,0,2,1,1,5,4,0,1,4,1,0,1,3,25,3,23,5,7,7,1,2,0,0,1,1,3,1,5,4,0,2,3,1,0,12,0,3,0,7,0,5,2,6,1,11,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,3,2,0,0,0,2,0,2,2,1,4,64,0,0,0,5,1,0,3,1,1,5,5,1,0,0,0,0
27.75,0,0,8,3,0,0,2,2,3,12,21,1,7,2,7,0,1,8,0,2,0,17,0,1,4,0,0,0,0,3,0,19,25,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,39,5,10,0,0,0,3,0,1,0,0,0,7,0,0,9,7,0,0,0,7,0,0,1,0,0,6,0,0,0,0,1,6,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,84,3,1,4,0,0,35,0,0,0,1,0,0,3,0,0,1
29,0,0,0,0,1,0,0,2,1,3,30,0,0,2,0,0,4,9,0,0,1,2,0,0,3,10,2,1,3,0,0,10,3,2,9,5,8,4,0,14,3,10,1,0,3,0,1,1,5,20,0,30,3,12,6,3,5,0,0,0,0,6,0,1,4,0,0,6,0,0,7,0,0,0,6,0,3,1,8,0,11,0,0,0,2,0,0,0,0,0,0,2,2,0,3,0,0,3,2,0,4,1,1,1,2,0,2,73,0,1,0,2,1,1,2,2,2,0,3,0,0,0,0,0
32.25,0,0,6,2,0,0,7,4,2,4,16,0,3,0,6,2,0,3,0,4,0,10,4,1,3,0,0,0,0,2,0,47,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,17,0,0,0,3,0,1,1,0,0,9,0,0,11,7,0,2,0,2,0,0,8,0,0,0,0,0,0,0,1,12,0,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,56,7,0,1,0,0,21,0,0,0,7,0,0,2,0,0,0
