depth,(M) Nitzschia tubicola,Pinnularia semiinflata,Navicula bipustulata,Nitzschia ligowskii,Cocconeis scutelum,Tabularia fasciculata,(B) Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Navicula salinarum,Halamphora coffeiformis,Navicula peregrina,Nitzschia sigma,(E) Amphora ovalis,Synedra famelica,Navicula gregaria,Achnanthes adnata,Diploneis eliptica,Planothidium delicathulum,Stephanocyclus meneghinianus,(F) Ctenophora pulchella,Cymbopleura naviculiformis,Diatoma moniliformis,Navicula cf. radiosa,Nitzschia incospicua,Nitzschia nana,Placoneis clementis,Sellaphora bacillum,Pseudostaurosira elliptica,Diatoma tenuis,Nitzschia dissipata,Fragilaria capucina,Pseudostaurosira brevistriata,Achnanthidium lineare,Fragilaria gracilis,Nitzschia palea,Pinnularia borealis,Sellaphora laevissima,Encyonema minutum,Gomphonema acuminatum,Pinnularia schoenfelderi,Encyonema silesiacum,Navicula tenelloides,Pinnularia viridiformis,Adlafia minuscula,Lindavia radiosa,Pinnularia viridis,Achnanthidium minutissimum,Achnanthidium peterseni,Brachysira brebissonii,Brachysira procea,Brachysira serians,Brachysira vitrea,Cocconeis placentula,Diploneis finnica,Encyonema neogracile,Encyonopsis cesatii,Eucocconeis alpestris,Eucocconeis depressa,Eunotia arcus,Eunotia bilunaris,Eunotia boreoalpina,Eunotia faba,Eunotia implicata,Eunotia meisteri,Eunotia nyamanniana,Eunotia paludosa,Eunotia rhomboidea,Eunotia tenella,Eunotia tetraedron,Eunotia vanheurckii,Fragilaria radians,Fragilaria tenera,Fragilariforma virescens var.subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema angustatum,Gomphonema druteligense,Gomphonema excilissimum,Gomphonema parvulius,Gomphonema parvulum,Gyrosigma acuminatum,Hippodonta hungarica,Iconella amphioxys,Navicula cf. ceyptocephala,Neidium affine,Neidium bisulcatum,Nitzschia hantzschiana,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia krammeri,Pinnularia microstauron,Pinnularia microstauron var. nonfasciata,Pinnularia minutiformis,Pinnularia perinterrupta,Pinnularia pulchra,Platessa oblongella,Psammothidium helveticum,Rossithidium pusillum,Stauroforma exiguiformis,Stauroneis acidoclinata,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira construens,Staurosira venter,Staurosirella martyi,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,Ulnaria delicatissima var. angustissima,Ulnaria ulna,(I) Diatoma sp.,Nitzschia sp.,Pinnularia sp.,Sellaphora sp.,Surirella sp.,Tabellaria sp.
0.5,0,0,0,3,0,30,0,0,3,7,0,0,0,11,0,1,1,0,1,5,0,0,0,3,0,0,0,0,0,45,24,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,0,7,0,0,0,13,0,0,0,0,0,33,0,2,0,0,1,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,24,0,5,0,0,0,88,0,0,0,4,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,4,0,4,12,0,1,2,0,0,0,0,0,2,1,2,0,0,28,0,0,0,0,0,40,13,4,7,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,8,0,0,1,11,0,0,0,0,10,6,1,2,0,1,1,0,1,0,0,26,9,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,62,0,0,0,2,0,24,0,1,4,0,4,0,0,19,0,0,0,1,0
14.5,8,0,0,0,0,0,0,0,8,5,0,0,1,0,0,0,0,0,0,1,1,0,0,62,0,0,0,0,0,42,47,0,19,0,0,53,0,2,0,0,1,0,0,0,0,0,0,1,23,0,0,0,8,0,0,1,5,0,0,0,0,4,0,1,10,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,7,0,0,5,0,3,0,0,10,0,0,2,0,0
22.5,0,0,4,3,0,0,7,0,7,14,0,0,0,13,1,2,0,0,1,0,0,0,3,5,0,0,0,0,1,46,17,1,9,0,0,0,0,2,0,0,0,0,0,0,0,1,11,4,28,0,0,0,7,0,1,0,9,0,0,0,1,20,0,1,0,0,0,12,0,11,0,0,20,0,0,0,0,1,0,0,0,0,1,1,15,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,39,1,0,0,6,0,67,0,1,0,2,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,4,1,4,9,0,1,0,11,3,2,4,0,0,2,0,1,1,2,0,0,0,1,0,52,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,40,0,0,0,1,0,0,0,7,0,0,0,0,19,0,1,0,0,0,0,9,7,0,0,9,0,0,0,0,4,0,0,0,0,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,48,0,0,0,9,0,0,0,11,0,0,0,0,0
26.5,0,0,0,0,0,0,2,0,5,29,2,0,0,0,3,10,0,2,0,0,0,3,2,13,1,1,0,2,1,17,9,0,6,14,7,0,17,6,6,0,0,0,2,0,1,5,0,1,37,7,1,10,3,4,0,0,4,1,3,0,1,8,0,0,5,1,1,0,12,1,0,0,0,10,7,0,4,0,0,0,1,0,0,2,14,3,0,1,1,0,1,0,1,5,1,0,0,0,1,0,7,55,0,0,0,1,2,0,0,0,1,1,9,0,4,0,0,1,1,0,0
27.5,0,0,1,2,0,0,10,0,11,21,0,2,0,9,0,4,6,0,0,2,3,3,2,0,0,0,0,1,1,33,25,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,19,3,14,0,0,0,1,0,0,0,13,0,0,0,0,21,0,1,0,0,0,0,2,8,0,0,8,0,0,0,1,5,0,0,0,0,0,15,23,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,54,0,3,0,3,0,52,0,0,0,5,0,0,0,0,0,0,1,0,0
28.5,0,0,0,0,0,0,7,0,3,16,0,0,0,0,1,4,0,0,1,0,2,1,3,10,1,0,0,1,2,25,5,0,13,7,6,0,10,8,6,2,0,0,8,0,0,0,0,2,37,1,1,11,3,4,0,0,7,7,0,0,1,7,0,0,5,0,0,1,9,2,0,0,0,2,4,1,6,0,1,1,0,0,0,13,8,8,0,2,0,2,1,0,0,1,1,0,1,1,0,1,2,71,0,0,0,3,2,4,0,0,6,3,5,1,9,0,0,0,0,0,0
29.5,0,0,0,0,0,1,3,0,5,15,0,0,0,12,0,7,3,0,1,1,7,0,1,1,0,0,0,0,1,54,28,0,8,0,0,0,0,2,0,0,0,0,2,0,0,0,19,4,13,0,0,0,1,0,0,0,9,0,0,0,0,7,0,2,0,0,0,1,2,5,0,0,3,0,0,0,0,6,0,0,0,0,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,2,0,2,0,51,0,0,0,7,0,0,0,2,0,0,0,0,0
31.5,0,0,0,0,0,0,3,0,7,10,0,0,2,0,0,0,1,0,0,0,3,0,8,0,0,1,0,4,0,8,5,0,1,4,14,0,6,3,8,2,0,5,4,1,0,9,0,2,23,3,1,2,0,3,0,0,2,5,1,1,0,5,0,0,3,0,0,4,3,2,1,1,2,4,2,2,12,0,2,0,0,0,1,2,10,2,2,0,1,0,3,0,0,0,1,6,2,0,0,1,0,156,0,1,0,0,3,0,2,0,3,0,4,0,2,0,0,3,0,0,0
32.5,0,1,1,0,4,0,4,0,7,5,0,0,2,16,0,0,9,0,0,4,2,0,7,1,0,0,1,1,0,46,12,1,2,0,0,4,0,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,4,0,0,0,0,12,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,155,2,1,1,0,0,7,0,1,0,2,0,0,0,4,1,0,0,1,0
