location,cmTop,cmBot,depth,DBD,LOI,Sand
tl09_1,0,1,0.5,0.014899999999999025,50.17064846,0
tl09_1,1,2,1.5,0.04720000000000013,52.4822695,4
tl09_1,2,3,2.5,0.10129999999999839,56.06557377,2
tl09_1,3,4,3.5,0.09719999999999906,55.08684864,4
tl09_1,4,5,4.5,0.12380000000000013,61.31078224,0
tl09_1,5,6,5.5,0.14860000000000007,58.1443299,2
tl09_1,6,7,6.5,0.12909999999999933,51.9650655,6
tl09_1,7,8,7.5,0.13680000000000092,54.98084291,0
tl09_1,8,9,8.5,0.11029999999999873,60,6
tl09_1,9,10,9.5,0.1357999999999997,55.19877676,4
tl09_1,10,11,10.5,0.12449999999999939,55.06993007,4
tl09_1,11,12,11.5,0.11519999999999975,60.74498567,2
tl09_1,12,13,12.5,0.13319999999999865,54.31547619,0
tl09_1,13,14,13.5,0.13149999999999906,55.72139303,16
tl09_1,14,15,14.5,0.1255000000000006,53.51418002,48
tl09_1,15,16,15.5,0.12300000000000022,58.72170439,10
tl09_1,16,17,16.5,0.11630000000000074,48.67052023,18
tl09_1,17,18,17.5,0.11630000000000074,42.62788365,46
tl09_1,18,19,18.5,0.1186999999999987,44.80286738,42
tl09_1,19,20,19.5,0.12829999999999941,48.6011191,52
tl09_1,20,21,20.5,0.11479999999999979,49.65325936,148
tl09_1,21,22,21.5,0.11209999999999987,50.03371544,166
tl09_1,22,23,22.5,0.11710000000000065,55.60538117,172
tl09_1,23,24,23.5,0.11630000000000074,68.35347432,18
tl09_1,24,25,24.5,0.10749999999999993,58.68421053,74
tl09_1,25,26,25.5,0.1097999999999999,57.60397269,50
tl09_1,26,27,26.5,0.11490000000000045,58.01104972,76
tl09_1,27,28,27.5,0.11800000000000033,39.87019008,408
tl09_1,28,29,28.5,0.1225000000000005,52.72614622,94
tl09_1,29,30,29.5,0.1189,67.79388084,44
tl09_1,30,31,30.5,0.12369999999999948,74.32542927,52
tl09_1,31,32,31.5,0.22530000000000072,43.9414114513981,772
tl09_1,32,33,32.5,0.6110000000000007,13.2078559738134,2220
