depth,(M) Navicula bipustulata,Actinocyclus cf. normanii,Nitzschia tubicola,Petroneis humerosa,Pinnularia semiinflata,Tabularia waernii,Cocconeis scutelum,(B) Nitzschia sigma,Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Rhopalodia musculus,Halamphora acutiscula,Halamphora coffeiformis,Navicula peregrina,Navicula phylleoptosoma,Navicula veneta,(E) Pinnuavis elegans,Diploneeis smithii,Mastogloia smithii,Nitzschia dubia,Parlibellus crucicula,Tryblionella hantzschiana,Amphora ovalis,Navicula rhynchotella,Diploneis smithii,Staurosirella martyi,Surirella ovalis,Navicula gregaria,Diploneis eliptica,Planothidium delicathulum,Stephanocyclus meneghinianus,(F) Ctenophora pulchella,Diatoma moniloformis,Luticolopsis vietnamica,Navicula radiosa,Nitzschia incospicua,Placoneis clementis,Sellaphora bacillum,Synedra famelica,Brebissonia lanceolata,Craticula halophilioides,Fallacia pygmaea,Nitzschia nana,Pseudostaurosira elliptica,Caloneis amphisbaena,Diatoma tenuis,Nitzschia dissipata,Brachysira styriaca,Fragilaria capucina,Pseudostaurosira brevistriata,Fragilaria gracilis,Nitzschia palea,Pinnularia borealis,Pinnularia cardinaliculus,Sellaphora laevissima,Caloneis silicula,Encyonema minutum,Gomphonema acuminatum,Cymbella cymbiformis,Encyonema silesiacum,Pinnularia viridiformis,Adlafia minuscula,Cymbopleura naviculiformis,Gomphonema minusculum,Pinnularia viridis,Achnanthidium caledonicum,Achnanthidium lineare,Achnanthidium minutissimum,Achnanthidium peterseni,Brachysira procera,Brachysira serians,Brachysira vitrea,Caloneis schumanniana,Cavinula pseudoscutiformis,Cocconeis placentula,Diploneis abscondita,Diploneis boldtiana,Diploneis finnica,Encyonema neogracile,Encyonopsis cesatii,Encyonopsis microcephala,Eucocconeis alpestris,Eunotia arcus,Eunotia bilunaris,Eunotia boreoalpina,Eunotia glacialis,Eunotia implicata,Eunotia paludosa,Eunotia rhomboidea,Eunotia tenella,Eunotia tetraodon,Eunotia triodon,Eunotia vanheurckii,Fragilaria exigua,Fragilaria radians,Fragilaria rhabdosoma,Fragilaria tenera,Fragilaria tenera var. nanana,Fragilariforma bicapitata,Fragilariforma virescens var. subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema coronatum,Gomphonema druteligense,Gomphonema parvulius,Gomphonema parvulum,Gomphonema pumilum,Gyrosigma acuminatum,Hippodonta hungarica,Iconella amphioxys,Navicula cryptocephala,Neidium affine,Nitzschia hantzschiana,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia krammeri,Pinnularia microstauron,Pinnularia pulchra,Pinnularia subgibba,Pinnularia subnodosa,Pinnularia turfosiphila,Planothidium daui,Platessa oblongella,Psammothidium subatomoides,Rossithidium pusillum,Stauroforma exiguiformis,Stauroneis acidoclinata,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira bidonis,Staurosira construens,Staurosira venter,Staurosirella pinnata,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,Ulnaria ulna,Gomphonema naviculoides,Lindavia radiosa,(I) Diatoma sp.,Achnanthes sp.,Nitzschia sp.,Pinnularia sp.,Surirella sp.
0.25,0,0,0,0,0,0,0,0,1,0,15,7,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,18,0,0,8,0,0,0,0,0,0,0,81,0,3,2,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,25,6,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,3,111,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0
3.75,0,0,10,0,0,0,0,0,3,0,12,6,0,0,0,10,0,0,3,1,0,1,0,0,0,0,0,3,0,1,0,1,3,5,4,0,0,0,0,0,0,1,1,0,0,100,0,11,0,0,0,8,0,0,5,0,0,5,0,0,0,0,0,0,0,0,6,0,2,26,6,0,2,1,0,0,11,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,41,0,0,93,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
4.25,0,0,3,0,0,0,5,1,6,2,24,11,0,0,0,5,0,0,8,2,1,0,0,0,0,0,0,0,0,1,0,7,1,21,6,0,0,0,0,0,0,0,0,0,0,94,0,6,0,0,0,9,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,6,0,0,3,0,0,0,0,0,0,13,0,0,121,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.75,0,0,1,0,0,0,16,0,6,3,21,8,1,1,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,3,8,6,0,0,4,0,0,0,0,0,0,0,92,0,12,4,0,0,8,0,0,5,0,0,0,0,1,0,0,2,0,0,0,2,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5.25,0,0,0,0,0,0,3,1,5,6,17,13,0,0,0,2,0,0,8,0,1,1,0,0,1,0,0,0,0,0,0,1,3,14,5,0,0,9,1,0,0,0,0,0,0,90,0,6,1,0,0,10,0,2,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,19,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.75,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,7,0,0,3,0,0,0,0,0,1,0,1,0,0,4,0,0,6,8,2,0,1,2,0,0,0,0,0,0,1,91,0,0,0,0,0,5,0,8,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,14,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,144,0,0,0,0,1,0,0,21,0,0,0,0,0,0,1,1,0,0,0,0
6.25,0,0,2,0,2,0,6,1,3,3,11,19,1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,7,14,8,3,0,0,3,0,0,0,0,0,0,74,0,14,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,27,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,42,0,0,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.75,0,0,0,0,0,0,5,0,1,4,10,16,0,1,0,1,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,7,19,0,0,0,0,0,0,0,0,0,0,0,59,0,4,0,0,0,5,1,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,16,14,23,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,24,0,0,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0
7.25,0,0,0,0,0,0,1,2,4,1,9,17,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,2,6,18,5,0,0,0,2,0,0,0,0,0,0,79,0,3,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,20,13,22,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,40,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
7.75,0,0,0,0,0,0,2,0,2,1,6,14,0,0,0,5,0,0,6,2,0,0,0,0,1,0,0,0,0,2,2,10,3,14,9,0,0,0,1,0,0,0,0,0,0,97,0,1,0,0,0,6,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,10,23,40,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,81,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0
