depth,(M) Nitzschia tubicola,Pinnularia semiinflata,Synedra fasciculata,Navicula bipustulata,Cocconeis scutelum,Amphora bindulata,Tabularia fasciculata,(B) Parlibellus plicatus,Navicula arenaria,Navicula hanseatica,Navicula meniscus,Halamphora acutiscula,Halamphora coffeiformis,Navicula peregrina,Navicula phylleoptosoma,Nitzschia sigma,Stauronella indubitabilis,(E) Cocconeis californica,Diploneis didymus,Mastogloia smithii,Pinnuavis elegans,Amphora ovalis,Synedra famelica,Diploneis smithii,Staurosirella martyi,Surirella ovalis,Navicula gregaria,Diploneis eliptica,Planothidium delicathulum,Stephanocyclus meneghinianus,(F) Ctenophora pulchella,Cymbopleura naviculiformis,Diatoma moniliformis,Luticolopsis vietnamica,Placoneis clementis,Sellaphora bacillum,Brebissonia lanceolata,Nitzschia nana,Pseudostaurosira elliptica,Tryblionella hantzschiana,Diatoma tenuis,Fragilaria capucina,Pseudostaurosira brevistriata,Achnanthidium lineare,Caloneis silicula,Nitzschia palea,Pinnularia borealis,Encyonema minutum,Encyonema silesiacum,Halamphora bicapitata,Navicula tenelloides,Pinnularia viridiformis,Adlafia minuscula,Pinnularia viridis,Achnanthidium minutissimum,Achnanthidium peterseni,Brachysira procea,Brachysira serians,Brachysira vitrea,Caloneis shumanniana,Cocconeis placentula,Diploneis boldtiana,Encyonema neogracile,Encyonopsis cesatii,Eucocconeis alpestris,Eunotia arcus,Eunotia bilunaris,Eunotia boreoalpina,Eunotia faba,Eunotia glacialis,Eunotia implicata,Eunotia meisteri,Eunotia paludosa,Eunotia rhomboidea,Eunotia tenella,Eunotia triodon,Eunotia vanheurckii,Fragilaria radians,Fragilaria rhabdosoma,Fragilaria tenera,Fragilariforma virescens var. subsalina,Frustulia erifuga,Frustulia saxonica,Frustulia vulgaris,Gomphonema angustatum,Gomphonema coronatum,Gomphonema naviculoides,Gomphonema pala,Gomphonema parvulius,Gomphonema parvulum,Hippodonta hungarica,Iconella amphioxys,Meridion circulare,Navicula cf. cryptocephala,Nitzschia homburgensis,Nitzschia sigmoidea,Pinnularia krammeri,Pinnularia microstauron,Pinnularia microstauron var. nonfasciata,Pinnularia minutiformis,Pinnularia perinterrupta,Pinnularia pulchra,Pinnularia rupestris,Planothidium potapovae,Semiorbis eliasiae,Stauroforma exiguiformis,Stauroneis acidoclinata,Stauroneis gracilis,Stauroneis kriegeri,Stauroneis phoenicentron,Stauroneis sylvahassiaca,Staurosira venter,Staurosirella pinnata,Tabellaria fenestrata,Tabellaria flocculosa,Tabellaria ventricosa,Ulnaria ulna,Staurosira construens,(I) Diatoma sp.,Nitzschia sp.,Pinnularia sp.,Sellaphora sp.,Surirella sp.,Tabellaria sp.
0.25,2,0,0,0,0,0,0,1,3,23,2,0,57,2,0,2,0,0,0,3,0,0,0,0,15,0,20,0,34,6,25,0,0,1,15,0,0,0,92,0,6,19,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4.75,0,1,0,2,0,9,7,3,11,37,1,0,0,4,0,3,0,0,0,0,0,0,0,0,14,0,12,0,37,4,36,0,0,0,6,0,0,0,109,0,3,4,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,29,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0
13.75,0,0,0,1,1,0,0,6,6,32,2,3,3,6,0,2,0,0,0,0,2,1,1,0,17,0,27,0,26,21,27,0,0,0,11,0,0,0,94,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,2,0,0,0,0,6,0,0,2,0,1,0,2,8,0
17.75,0,0,0,1,0,0,0,1,3,8,3,0,2,7,0,4,0,0,0,0,1,0,0,0,27,0,16,0,19,14,8,0,0,0,10,0,0,0,179,0,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,1,2
19.25,0,1,0,0,0,0,0,7,3,26,16,0,0,3,0,0,0,1,0,0,3,0,1,0,24,2,0,0,14,63,9,1,3,0,6,1,1,0,44,0,0,2,0,1,0,3,30,1,1,0,0,1,3,1,4,0,3,0,1,1,3,0,0,0,0,0,4,0,0,1,3,0,0,0,2,0,1,0,0,0,1,3,17,0,0,0,0,0,0,0,9,1,0,2,3,0,1,1,1,0,0,0,1,1,0,52,0,0,0,0,1,2,2,3,0,2,0,0,0,0,2,0,0,0
20.75,2,0,0,5,0,0,0,7,13,13,4,0,2,2,0,0,0,0,0,0,7,0,0,0,15,0,6,0,14,45,0,0,9,0,6,1,0,0,159,0,0,1,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,2,2,0,0,0,0,1,0,0,2,0,1,0,2,0,0
21.75,0,0,0,0,0,0,0,6,0,22,7,0,0,1,0,0,2,0,0,0,10,0,0,0,2,1,1,2,6,48,5,1,4,0,3,1,0,0,44,0,6,6,8,0,0,2,22,1,0,0,4,0,3,5,4,0,3,2,0,0,0,1,3,4,0,0,0,0,0,1,7,0,0,1,6,0,2,0,0,1,6,4,9,0,1,0,0,0,0,0,22,2,0,1,0,0,0,3,1,1,0,0,0,0,1,74,0,0,1,0,5,1,3,4,1,2,0,0,0,0,0,0,0,0
28.25,3,0,0,0,0,0,1,3,17,17,4,3,0,0,0,0,0,0,0,0,3,0,0,0,9,0,1,0,18,14,8,0,4,0,8,0,0,0,173,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,59,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.25,7,0,0,2,0,0,0,5,3,27,8,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,3,14,34,2,2,14,0,6,0,0,0,112,0,21,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0
33.75,0,0,1,0,2,0,0,2,1,19,4,0,6,4,3,0,0,0,1,0,5,0,0,2,8,1,1,0,36,18,4,0,9,3,6,0,0,2,101,0,2,4,2,1,0,8,14,2,1,0,0,0,4,2,9,1,4,2,0,0,0,0,5,5,1,0,0,0,0,0,3,0,0,3,1,0,2,0,0,0,0,1,6,0,0,0,0,0,1,0,6,3,0,1,1,0,0,4,1,1,1,1,0,0,0,41,0,0,0,1,0,0,3,4,0,4,2,0,0,0,3,0,0,0
